algorithm,strat,bench,region,num_threads,size,obs,min,mean,max,stddev,ci,speedup
3. Pthreads,pth,1,full,16,1024,10,0.058334716780000004,0.059699915879999996,0.062453000780000004,0.0013329647582311017,0.0008261801166422076,2.9723211988552647
3. Pthreads,pth,1,full,16,2048,10,0.19017415178000002,0.19430169138000003,0.20257696578,0.003734474342464785,0.002314651177987084,3.2076348528593033
3. Pthreads,pth,1,full,16,4096,10,0.74651737778,0.7648881859800001,0.7907634677800001,0.012466902905967723,0.007727066476001875,3.142053490420678
3. Pthreads,pth,1,full,16,8192,10,2.95889044278,3.00381133668,3.07188986678,0.03575181230147969,0.022159202840894444,3.1574577492016385
3. Pthreads,pth,1,full,32,16,10,0.002795047780000001,0.00321141138,0.003918528780000001,0.000353961719717511,0.00021938774680822337,0.8170269795830393
3. Pthreads,pth,1,full,32,32,10,0.0029730947800000007,0.003438393280000001,0.00538456778,0.0007097454257508657,0.00043990477243469685,0.8209388543244245
3. Pthreads,pth,1,full,32,64,10,0.0034867767800000004,0.003882675280000001,0.004532100780000001,0.0003415242926841209,0.00021167894966732132,0.8292650576743569
3. Pthreads,pth,1,full,32,128,10,0.004037560780000001,0.00443579108,0.004878530780000001,0.0002809822829262648,0.0001741546232553643,1.1548452232335524
3. Pthreads,pth,1,full,32,256,10,0.005860729780000001,0.006239299380000003,0.006647913780000002,0.00031496487341755046,0.0001952172510574319,2.1593251131988462
3. Pthreads,pth,1,full,32,512,10,0.012730179780000002,0.013803330380000001,0.015356101780000003,0.0010641739889403216,0.0006595818718246172,3.5311951679881473
3. Pthreads,pth,1,full,32,1024,10,0.04024591478,0.04434996618,0.049061655780000005,0.0029500881939022025,0.0018284836062562697,4.001070143318879
3. Pthreads,pth,1,full,32,2048,10,0.14251850278,0.14722794068000003,0.15525659378,0.004664034639986818,0.0028907986194632294,4.23322417172588
3. Pthreads,pth,1,full,32,4096,10,0.53878636278,0.57579854728,0.5965710467800001,0.017107539674995842,0.010603362944797978,4.173889645767569
3. Pthreads,pth,1,full,32,8192,10,2.2259278867799996,2.26816578638,2.37530738678,0.05349029833544453,0.03315363039053594,4.181531808253375
3. Pthreads,pth,1,seahorse,1,16,10,0.0025263417800000004,0.002800074280000001,0.003332721780000001,0.0002455520117039024,0.00015219471364004837,1.0643787778372793
3. Pthreads,pth,1,seahorse,1,32,10,0.003668910780000001,0.0042345103800000014,0.004856429780000001,0.00041981606801847035,0.0002602046947618094,0.9239106269471464
3. Pthreads,pth,1,seahorse,1,64,10,0.007279180780000002,0.0076010007800000005,0.008161697780000001,0.0002536354493165337,0.00015720488017928694,0.9635439005967315
3. Pthreads,pth,1,seahorse,1,128,10,0.02302885878,0.023742279380000002,0.025036724780000002,0.000566692245652141,0.0003512394928088177,0.8952558429543679
3. Pthreads,pth,1,seahorse,1,256,10,0.08579281778,0.08865404848,0.08989056478,0.001394515919708825,0.0008643299217702982,0.8894917332262592
3. Pthreads,pth,1,seahorse,1,512,10,0.28820068378,0.30768340408000006,0.33575352778,0.014804044533099641,0.00917564186420313,0.9660361868679699
3. Pthreads,pth,1,seahorse,1,1024,10,1.12054233378,1.1436612492800002,1.21035959478,0.03283282513382538,0.020349995850418526,1.0027690556639854
